age,job,marital,education,default,housing,loan,month,day_of_week,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,cluster
58,management,unknown,university.degree,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
32,entrepreneur,married,high.school,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
38,admin.,single,professional.course,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2
57,admin.,married,university.degree,no,no,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
44,admin.,married,university.degree,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
42,technician,single,professional.course,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2
57,admin.,married,university.degree,no,yes,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
40,blue-collar,married,basic.9y,no,no,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
35,admin.,married,university.degree,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
45,blue-collar,married,basic.9y,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
54,admin.,married,high.school,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
39,housemaid,married,basic.4y,no,no,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
60,admin.,married,high.school,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
53,admin.,single,professional.course,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2
55,blue-collar,married,basic.4y,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
55,technician,married,professional.course,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2
50,management,married,university.degree,unknown,no,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
45,services,married,high.school,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
55,unemployed,married,professional.course,unknown,yes,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2
25,technician,single,university.degree,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
47,entrepreneur,married,university.degree,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
51,blue-collar,married,basic.9y,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
42,blue-collar,married,basic.6y,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
42,blue-collar,married,basic.6y,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
48,admin.,married,high.school,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
37,admin.,married,university.degree,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
44,blue-collar,single,basic.9y,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
33,admin.,married,unknown,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
56,admin.,married,basic.9y,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
44,blue-collar,single,basic.4y,unknown,yes,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
41,management,married,basic.6y,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
44,management,divorced,university.degree,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
47,admin.,married,university.degree,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
57,unknown,married,unknown,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
37,admin.,married,university.degree,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
41,blue-collar,divorced,basic.4y,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,yes,0
55,technician,married,university.degree,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
33,services,married,high.school,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
55,management,married,unknown,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
42,blue-collar,married,basic.9y,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
50,blue-collar,married,basic.4y,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
51,blue-collar,married,basic.4y,unknown,unknown,unknown,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
38,admin.,married,high.school,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
49,entrepreneur,married,university.degree,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,yes,1
38,technician,single,university.degree,no,no,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
31,admin.,divorced,high.school,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
41,management,married,basic.6y,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
39,admin.,married,university.degree,no,yes,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
49,technician,married,basic.9y,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,yes,0
34,admin.,married,high.school,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
35,admin.,married,university.degree,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
57,unknown,married,unknown,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
60,admin.,married,unknown,unknown,no,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
33,unemployed,married,basic.9y,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
42,blue-collar,married,basic.6y,no,no,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
45,services,married,professional.course,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2
42,management,married,university.degree,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
53,admin.,divorced,university.degree,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
37,technician,single,professional.course,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2
44,blue-collar,married,basic.6y,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
54,services,married,unknown,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
49,blue-collar,married,basic.4y,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
54,services,married,unknown,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
52,admin.,divorced,university.degree,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
52,admin.,divorced,university.degree,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
43,services,single,high.school,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
34,housemaid,married,basic.6y,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
35,admin.,married,high.school,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
42,entrepreneur,married,unknown,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
43,technician,married,unknown,unknown,yes,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
60,retired,divorced,university.degree,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
58,unemployed,married,basic.4y,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
35,services,divorced,high.school,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
55,blue-collar,married,basic.9y,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
37,management,married,university.degree,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
36,blue-collar,married,high.school,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
52,admin.,divorced,university.degree,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
57,blue-collar,divorced,unknown,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
56,admin.,married,unknown,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
48,blue-collar,divorced,basic.4y,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
40,blue-collar,married,high.school,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
49,blue-collar,divorced,high.school,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
41,services,married,high.school,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
45,technician,married,high.school,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
32,admin.,married,university.degree,no,yes,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
42,admin.,married,university.degree,no,no,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
50,admin.,married,basic.6y,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
31,technician,divorced,professional.course,no,yes,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2
56,retired,married,basic.4y,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
41,technician,married,professional.course,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,yes,2
37,blue-collar,married,basic.6y,no,yes,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
41,technician,married,professional.course,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2
35,blue-collar,married,unknown,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
37,blue-collar,married,basic.6y,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
52,management,married,university.degree,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
39,management,divorced,university.degree,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
39,housemaid,married,basic.4y,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
56,blue-collar,married,basic.4y,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
34,services,married,high.school,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
45,blue-collar,married,basic.9y,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,yes,0
43,unemployed,single,university.degree,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
56,management,married,unknown,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
39,management,married,university.degree,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
53,blue-collar,married,basic.4y,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
38,unknown,divorced,high.school,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
42,blue-collar,married,basic.4y,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
42,blue-collar,married,basic.4y,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
35,admin.,single,high.school,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
40,admin.,married,university.degree,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
51,blue-collar,married,basic.4y,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
60,blue-collar,married,basic.9y,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
56,entrepreneur,married,unknown,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
39,services,divorced,high.school,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
56,entrepreneur,married,unknown,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
40,blue-collar,married,unknown,no,yes,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
36,blue-collar,married,basic.9y,no,yes,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
51,blue-collar,married,unknown,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
51,blue-collar,married,unknown,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
43,technician,single,professional.course,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2
59,services,married,high.school,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
24,management,single,university.degree,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
37,blue-collar,single,basic.9y,unknown,yes,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
40,blue-collar,married,basic.9y,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
42,blue-collar,married,basic.9y,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
39,services,divorced,high.school,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
37,entrepreneur,married,basic.6y,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
38,services,married,high.school,no,yes,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
56,admin.,divorced,unknown,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
40,blue-collar,married,unknown,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
54,management,divorced,university.degree,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
43,blue-collar,married,high.school,unknown,no,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
36,services,married,high.school,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
45,technician,married,university.degree,no,yes,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
42,admin.,single,university.degree,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
43,services,married,high.school,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
46,management,married,basic.9y,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
44,services,married,high.school,no,yes,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
51,admin.,single,basic.6y,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
28,services,married,high.school,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
37,blue-collar,married,basic.9y,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
34,technician,married,high.school,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
46,blue-collar,married,basic.6y,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
42,blue-collar,married,basic.9y,no,yes,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,yes,0
36,admin.,married,university.degree,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
54,blue-collar,married,basic.4y,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
57,management,married,university.degree,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
51,technician,married,basic.6y,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
54,retired,married,high.school,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
49,blue-collar,married,basic.4y,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
34,admin.,married,university.degree,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
41,technician,married,professional.course,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2
38,blue-collar,single,basic.9y,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
45,management,divorced,university.degree,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
42,technician,married,university.degree,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
34,blue-collar,single,basic.9y,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
48,blue-collar,married,basic.4y,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
37,admin.,married,high.school,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
34,blue-collar,single,basic.9y,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
40,admin.,married,basic.9y,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
43,blue-collar,married,basic.6y,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
33,services,married,high.school,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
32,services,single,basic.6y,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
39,blue-collar,married,high.school,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
43,admin.,married,unknown,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
44,blue-collar,married,basic.9y,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
35,student,single,university.degree,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
35,student,single,university.degree,unknown,yes,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
35,unemployed,married,professional.course,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2
36,services,single,basic.4y,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
35,student,single,university.degree,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
36,student,single,basic.9y,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
55,housemaid,divorced,university.degree,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
59,admin.,married,university.degree,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
57,retired,married,unknown,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
39,blue-collar,married,professional.course,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2
39,housemaid,married,basic.4y,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
30,blue-collar,single,unknown,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
30,blue-collar,single,unknown,no,yes,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
50,housemaid,married,basic.4y,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
40,services,married,high.school,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
35,admin.,married,high.school,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
43,technician,married,unknown,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
36,services,single,basic.6y,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
46,technician,married,basic.4y,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
40,technician,married,basic.9y,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
58,retired,married,university.degree,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
42,technician,married,university.degree,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
35,admin.,single,university.degree,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
43,retired,married,basic.4y,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
45,blue-collar,married,basic.4y,no,yes,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
39,admin.,married,professional.course,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2
50,services,divorced,professional.course,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2
32,management,divorced,basic.4y,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
39,admin.,married,high.school,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
52,self-employed,married,university.degree,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
44,admin.,married,professional.course,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2
56,blue-collar,married,basic.4y,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
48,admin.,married,high.school,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
33,services,married,high.school,unknown,no,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
43,management,married,university.degree,unknown,no,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
57,retired,married,high.school,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
36,technician,single,professional.course,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2
34,management,married,university.degree,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
34,services,single,basic.9y,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
30,technician,married,university.degree,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
33,services,divorced,unknown,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
32,technician,single,professional.course,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2
36,technician,single,high.school,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
36,blue-collar,single,high.school,no,no,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
33,services,single,high.school,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
40,technician,divorced,professional.course,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2
41,blue-collar,married,basic.4y,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
51,services,married,basic.6y,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
36,technician,married,professional.course,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2
28,services,married,unknown,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
53,services,married,high.school,no,yes,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
58,blue-collar,married,basic.9y,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
45,management,married,basic.9y,no,no,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
43,technician,married,unknown,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
33,admin.,married,high.school,no,no,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
33,admin.,married,high.school,no,no,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
27,blue-collar,single,basic.6y,no,unknown,unknown,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
42,technician,married,high.school,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
43,admin.,divorced,basic.9y,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
42,admin.,married,university.degree,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
27,blue-collar,single,basic.6y,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
34,self-employed,single,university.degree,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
31,student,single,university.degree,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
