age,job,marital,education,default,housing,loan,month,day_of_week,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,cluster,offer_id
39,4,2,2,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,5,O_110
30,10,1,3,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_121
55,1,1,0,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_092
55,5,2,3,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_051
41,9,2,3,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_214
37,0,1,3,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_182
35,9,1,6,0,0,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_152
59,9,1,7,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_099
39,6,1,2,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_192
54,9,2,6,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_130
55,11,1,6,1,1,1,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_108
46,0,1,7,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_110
59,9,1,7,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_060
49,1,1,7,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_031
54,4,1,0,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_133
54,1,0,0,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_206
55,11,1,0,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_025
34,7,1,3,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_199
52,9,1,2,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_193
41,0,1,6,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_071
56,9,1,0,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_149
58,4,3,6,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_047
32,2,1,3,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_177
38,0,2,5,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,5,O_165
57,0,1,6,0,0,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_088
44,0,1,6,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_025
42,9,2,5,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_224
57,0,1,6,0,2,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_109
40,1,1,2,0,0,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_207
35,0,1,6,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_160
45,1,1,2,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_182
54,0,1,3,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_178
39,3,1,0,0,0,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_053
60,0,1,3,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_091
53,0,2,5,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_113
55,1,1,0,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_120
55,9,1,5,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_020
50,4,1,6,1,0,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_131
45,7,1,3,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_044
55,10,1,5,1,2,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_174
25,9,2,6,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_161
47,2,1,6,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_213
51,1,1,2,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_174
42,1,1,1,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_091
42,1,1,1,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_223
48,0,1,3,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_101
37,0,1,6,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_082
44,1,2,2,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,5,O_210
33,0,1,7,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_092
56,0,1,2,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_027
44,1,2,0,1,2,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_114
41,4,1,1,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_186
44,4,0,6,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_052
47,0,1,6,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_112
57,11,1,7,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_039
37,0,1,6,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_162
41,1,0,0,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,yes,1,O_115
55,9,1,6,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_083
33,7,1,3,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_060
55,4,1,7,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_135
42,1,1,2,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_158
50,1,1,0,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_217
51,1,1,0,1,1,1,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_107
38,0,1,3,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_046
49,2,1,6,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,yes,2,O_194
38,9,2,6,0,0,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_149
31,0,0,3,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_165
41,4,1,1,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_032
39,0,1,6,0,2,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_079
49,9,1,2,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,yes,3,O_179
34,0,1,3,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_194
35,0,1,6,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_106
57,11,1,7,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_188
60,0,1,7,1,0,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_196
33,10,1,2,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_096
42,1,1,1,0,0,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_208
45,7,1,5,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_074
42,4,1,6,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_063
53,0,0,6,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_161
37,9,2,5,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_151
44,1,1,1,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_041
54,7,1,7,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_194
49,1,1,0,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_054
54,7,1,7,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_188
52,0,0,6,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_012
52,0,0,6,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_186
43,7,2,3,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_184
34,3,1,1,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_182
35,0,1,3,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_157
42,2,1,7,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_114
43,9,1,7,1,2,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_166
60,5,0,6,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_071
58,10,1,0,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_182
35,7,0,3,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_133
55,1,1,2,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_111
37,4,1,6,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_122
36,1,1,3,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_136
52,0,0,6,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_019
57,1,0,7,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_041
56,0,1,7,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_065
48,1,0,0,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_036
40,1,1,3,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_107
49,1,0,3,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_158
41,7,1,3,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_154
45,9,1,3,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_114
32,0,1,6,0,2,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,5,O_199
42,0,1,6,0,0,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_135
50,0,1,1,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_028
31,9,0,5,0,2,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_179
56,5,1,0,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_137
41,9,1,5,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,yes,4,O_150
37,1,1,1,0,2,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_135
41,9,1,5,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_132
35,1,1,7,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_030
37,1,1,1,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_134
52,4,1,6,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_185
39,4,0,6,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_077
39,3,1,0,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_143
56,1,1,0,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_017
34,7,1,3,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_087
45,1,1,2,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,yes,1,O_107
43,10,2,6,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_227
56,4,1,7,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_058
39,4,1,6,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_071
53,1,1,0,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_100
38,11,0,3,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_229
42,1,1,0,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_198
42,1,1,0,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_018
35,0,2,3,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,5,O_062
40,0,1,6,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_191
51,1,1,0,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_023
60,1,1,2,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_199
56,2,1,7,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_072
39,7,0,3,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_212
56,2,1,7,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_075
40,1,1,7,0,2,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_106
36,1,1,2,0,2,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_156
51,1,1,7,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_038
51,1,1,7,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_133
43,9,2,5,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_122
59,7,1,3,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_183
24,4,2,6,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,5,O_230
37,1,2,2,1,2,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,5,O_157
40,1,1,2,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_101
42,1,1,2,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_100
39,7,0,3,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_102
37,2,1,1,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_190
38,7,1,3,0,2,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_081
56,0,0,7,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_047
40,1,1,7,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_084
54,4,0,6,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_015
43,1,1,3,1,0,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_034
36,7,1,3,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_030
45,9,1,6,0,2,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_180
42,0,2,6,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,5,O_169
43,7,1,3,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_164
46,4,1,2,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_112
44,7,1,3,0,2,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_168
51,0,2,1,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_046
28,7,1,3,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_209
37,1,1,2,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_121
34,9,1,3,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_217
46,1,1,1,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_044
42,1,1,2,0,2,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,yes,1,O_120
36,0,1,6,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_164
54,1,1,0,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_120
57,4,1,6,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_109
51,9,1,1,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_047
54,5,1,3,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_094
49,1,1,0,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_063
34,0,1,6,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_077
41,9,1,5,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_161
38,1,2,2,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,5,O_149
45,4,0,6,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_144
42,9,1,6,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_090
34,1,2,2,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,5,O_222
48,1,1,0,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_030
37,0,1,3,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_086
34,1,2,2,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,5,O_036
40,0,1,2,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_085
43,1,1,1,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_222
33,7,1,3,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_091
32,7,2,1,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_210
39,1,1,3,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_119
43,0,1,7,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_164
44,1,1,2,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_111
35,8,2,6,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_069
35,8,2,6,1,2,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_179
35,10,1,5,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_224
36,7,2,0,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_068
35,8,2,6,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_182
36,8,2,2,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_068
55,3,0,6,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_168
59,0,1,6,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_184
57,5,1,7,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_109
39,1,1,5,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_173
39,3,1,0,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_070
30,1,2,7,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,5,O_028
30,1,2,7,0,2,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,5,O_032
50,3,1,0,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_109
40,7,1,3,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_209
35,0,1,3,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_039
43,9,1,7,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_111
36,7,2,1,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_165
46,9,1,0,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_055
40,9,1,2,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_169
58,5,1,6,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_078
42,9,1,6,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_188
35,0,2,6,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,5,O_138
43,5,1,0,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_131
45,1,1,0,0,2,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_049
39,0,1,5,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_112
50,7,0,5,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_199
32,4,0,0,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_015
39,0,1,3,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_177
52,6,1,6,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_119
44,0,1,5,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_169
56,1,1,0,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_156
48,0,1,3,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_106
33,7,1,3,1,0,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_078
43,4,1,6,1,0,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_149
57,5,1,3,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_041
36,9,2,5,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_139
34,4,1,6,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_031
34,7,2,2,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_153
30,9,1,6,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_149
33,7,0,7,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_029
32,9,2,5,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_177
36,9,2,3,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_102
36,1,2,3,0,0,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,5,O_184
33,7,2,3,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_020
40,9,0,5,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_050
41,1,1,0,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_119
51,7,1,1,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_052
36,9,1,5,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_083
28,7,1,7,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_156
53,7,1,3,0,2,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_042
58,1,1,2,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_160
45,4,1,2,0,0,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_033
43,9,1,7,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_049
33,0,1,3,0,0,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_140
33,0,1,3,0,0,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_185
27,1,2,1,0,1,1,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,5,O_048
42,9,1,3,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_076
43,0,0,2,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_214
42,0,1,6,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_228
27,1,2,1,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,5,O_138
34,6,2,6,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_109
31,8,2,6,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_087
54,4,0,6,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_145
40,6,1,0,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_141
52,10,1,3,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_075
47,4,0,6,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_016
49,3,1,2,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_044
32,0,2,3,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,5,O_221
49,3,2,3,1,2,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_102
50,1,1,2,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_117
34,7,1,3,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_113
55,1,1,0,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_183
47,9,2,2,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_025
51,5,1,5,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_029
47,1,1,1,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_071
56,9,1,0,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_118
